ID_PRODUCTO,PRODUCTO,STOCK,PRECIO_COMPRA,PRECIO_VENTAS
P-10001,Leche,1000,30,40
P-10002,Legumbres,1000,50,65
P-10003,Frutas frescas,1000,40,55
P-10004,Pan integral,1000,35,45
P-10005,Aceite,1000,100,120
P-10006,Arroz,1000,25,35
P-10007,Huevos,1000,5,7
P-10008,Yogur,1000,45,60
P-10009,Aceite de oliva,1000,200,250
P-10010,Agua potable,1000,15,25
P-10011,Verduras frescas,1000,30,45
P-10012,Carne de pollo,1000,75,90
P-10013,Pescado,1000,120,150
P-10014,Queso,1000,90,110
P-10015,Miel,1000,80,100
